SKU,categoria,color,id_campaign,id_product,condicion,nombre,coleccion,foto,edicion,talla_etiqueta,talla_estimada,marca,composicion,precio,descripcion,problema,ancho de hombros (AHO),contorno de busto (CBU),contorno de cintura (CCI),largo de mangas (LMA),largo total (LTT),contorno de cadera (CCA),largo de tiro (LTI),largo de planta (LPL),alto de taco (ATA),alto (ALT),largo (LRG),ancho (ANC),contorno interno (CIN),diámetro interno (DIN),peso_envio,medidas_envio
FLD-BGE-2021003-001,FLD,BGE,2021003,001,usado,Falda Luciana,,TRUE,TRUE,42,XS,Luciana Zuffi,100 lana // 60 acetato / 40 viscosa,$14.000,Clásica falda de lana de patrón espiga en tonos café y blanco. Cuenta con pinzas a la cintura e incluye forro.,,,,66,,53,92,,,,,,,,,255,
FLD-CFE-2021003-002,FLD,CFE,2021003,002,usado,Falda Harvé,,TRUE,TRUE,12,M,Harvé Benard,100 lana,$20.000,"Clásica falda de lana con estampado Príncipe de Gales en tonos burdeo y azul marino en un fondo mostaza. Incluye pasadores para cinturón, bolsillos y forro.",,,,78,,74,104,,,,,,,,,395,
FLD-MLT-2021003-003,FLD,MLT,2021003,003,usado,Falda Annika,,TRUE,TRUE,,XS,Mode Annika,95 lana / 5 nylon // 68 acetato / 32 viscosa,$24.000,"Increíble falda tableada vintage de lana, con delicado estampado floral y pasadores para un cinturón delgado. Liviana, ideal para la media estación.",,,,66,,70,94,,,,,,,,,255,
FLD-NGR-2021003-004,FLD,NGR,2021003,004,usado,Falda Heather,Back to Basic,TRUE,TRUE,6,XS,Land's End,100 lana // 100 acetato,$24.000,Elegante falda tableada de color negro hecha en Escocia. Incluye forro.,,,,66,,82,104,,,,,,,,,575,
PNT-AZL-2021003-005,PNT,AZL,2021003,005,usado,Mom jeans clásico,,TRUE,TRUE,,38,Vagabond,100 lana,$24.000,"Clásico mom jeans de algodón rígido, de corte recto y tiro medio.",,,,76,,98,96,29,,,,,,,,665,
PNT-CFE-2021003-006,PNT,CFE,2021003,006,usado,Pantalón Fusco,,TRUE,TRUE,,XS,Antonio Fusco,,$16.000,"Cómodo pantalón vintage de color café y suave textura. De tiro alto, con cierre al costado, pinzas en la cintura y bolsillos delanteros.",,,,68,,92,92,30,,,,,,,,335,
PNT-NGR-2021003-007,PNT,NGR,2021003,007,usado,Pantalón negro pura lana,Back to Basic,TRUE,TRUE,42,XS,,100 lana,$18.000,Elegante pantalón negro de tiro alto y pinzas delanteras. Tiene cierre invisible por el costado y botón.,,,,68,,95,92,32,,,,,,,,190,
BLU-AZL-2021003-008,BLU,AZL,2021003,008,usado,Blusa básica azul,Back to Basic,TRUE,TRUE,M,M,Fashion Network,,$10.000,"Liviana y fresca blusa de color azul. De corte sencillo, sin mangas, fácil de combinar.",,,94,92,,62,,,,,,,,,,80,
BLU-AZL-2021003-009,BLU,AZL,2021003,009,usado,Blusa Mikal,,TRUE,TRUE,M,S,Mikal-Alan,100 poliéster,$16.000,"Elegante blusa vintage de color azul, con vuelos en cuello y puños.",,36,100,88,61,55,,,,,,,,,,100,
BLU-RJO-2021003-010,BLU,RJO,2021003,010,usado,Blusa Carmen,,TRUE,TRUE,38,L,La Grand Petit,100 poliéster,$14.000,"Estilosa blusa roja, de cuello bote y corte ancho.",,45,120,118,59,63,,,,,,,,,,120,
BLU-RSD-2021003-011,BLU,RSD,2021003,011,usado,Blusa Joanna,,TRUE,TRUE,16,L,Joanna,100 poliéster,$12.000,Hermosa blusa de intenso color rosado y pretina elasticada. Tiene preciosos botones de metal.,Tenues manchitas en la parte delantera,43,120,116,28,66,,,,,,,,,,120,
BLU-MLT-2021003-012,BLU,MLT,2021003,012,usado,Blusa del jardín,,TRUE,TRUE,M,L,Mazzonetto,100 poliéster,$12.000,"Preciosa blusa de fondo oscuro con estampado floral en disposición de parches. De corte cuadrado, pronunciado cuello en V y delicados botones nacarados.",,42,114,112,32,75,,,,,,,,,,105,
BLU-NGR-2021003-013,BLU,NGR,2021003,013,usado,Blusa Katharina,Back to Basic,TRUE,TRUE,,S,,,$14.000,"Elegante blusa negra de manga larga, de corte tipo chaqueta con doble botón delantero nacarados.",Tiene un mínimo piquete en escote.,43,94,90,53,65,,,,,,,,,,130,
